field,task,category,percentage
sex,候选食物选择,female,27.27272727272727
sex,安全规则触发,female,20.0
sex,周计划生成,female,29.411764705882355
sex,画像抽取,female,26.666666666666668
sex,反事实一致性,female,33.33333333333333
sex,RAG开放回答,female,20.0
sex,候选食物选择,male,32.467532467532465
sex,安全规则触发,male,45.0
sex,周计划生成,male,29.411764705882355
sex,画像抽取,male,40.0
sex,反事实一致性,male,26.666666666666668
sex,RAG开放回答,male,50.0
sex,候选食物选择,unknown,40.25974025974026
sex,安全规则触发,unknown,35.0
sex,周计划生成,unknown,41.17647058823529
sex,画像抽取,unknown,33.33333333333333
sex,反事实一致性,unknown,40.0
sex,RAG开放回答,unknown,30.0
feeding_method,候选食物选择,breast,20.77922077922078
feeding_method,安全规则触发,breast,15.0
feeding_method,周计划生成,breast,25.0
feeding_method,画像抽取,breast,26.666666666666668
feeding_method,反事实一致性,breast,20.0
feeding_method,RAG开放回答,breast,20.0
feeding_method,候选食物选择,formula,25.97402597402597
feeding_method,安全规则触发,formula,25.0
feeding_method,周计划生成,formula,20.588235294117645
feeding_method,画像抽取,formula,20.0
feeding_method,反事实一致性,formula,20.0
feeding_method,RAG开放回答,formula,50.0
feeding_method,候选食物选择,mixed,19.480519480519483
feeding_method,安全规则触发,mixed,35.0
feeding_method,周计划生成,mixed,26.47058823529412
feeding_method,画像抽取,mixed,46.666666666666664
feeding_method,反事实一致性,mixed,26.666666666666668
feeding_method,RAG开放回答,mixed,0.0
feeding_method,候选食物选择,unknown,33.76623376623377
feeding_method,安全规则触发,unknown,25.0
feeding_method,周计划生成,unknown,27.941176470588236
feeding_method,画像抽取,unknown,6.666666666666667
feeding_method,反事实一致性,unknown,33.33333333333333
feeding_method,RAG开放回答,unknown,30.0
budget_level,候选食物选择,high,16.883116883116884
budget_level,安全规则触发,high,35.0
budget_level,周计划生成,high,27.941176470588236
budget_level,画像抽取,high,20.0
budget_level,反事实一致性,high,33.33333333333333
budget_level,RAG开放回答,high,30.0
budget_level,候选食物选择,low,25.97402597402597
budget_level,安全规则触发,low,25.0
budget_level,周计划生成,low,20.588235294117645
budget_level,画像抽取,low,40.0
budget_level,反事实一致性,low,26.666666666666668
budget_level,RAG开放回答,low,10.0
budget_level,候选食物选择,medium,28.57142857142857
budget_level,安全规则触发,medium,15.0
budget_level,周计划生成,medium,25.0
budget_level,画像抽取,medium,20.0
budget_level,反事实一致性,medium,20.0
budget_level,RAG开放回答,medium,20.0
budget_level,候选食物选择,unknown,28.57142857142857
budget_level,安全规则触发,unknown,25.0
budget_level,周计划生成,unknown,26.47058823529412
budget_level,画像抽取,unknown,20.0
budget_level,反事实一致性,unknown,20.0
budget_level,RAG开放回答,unknown,40.0
