task_type,system,cases,n_items,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,safe_precision,safe_recall,safe_f1,safe_support,caution_precision,caution_recall,caution_f1,caution_support,avoid_precision,avoid_recall,avoid_f1,avoid_support,hard_risk_recall,hard_risk_false_negative_rate,over_caution_rate,allergy_conflict_recall,under_6_block_rate,choking_risk_recall,unknown_ingredient_safe_rate,hard_risk_n,gold_safe_n,allergy_conflict_n,under_6_n,choking_risk_n,unknown_ingredient_n,decision_accuracy,decision_macro_precision,decision_macro_recall,decision_macro_f1,rule_micro_precision,rule_micro_recall,rule_micro_f1,risk_type_micro_precision,risk_type_micro_recall,risk_type_micro_f1,decision_safe_precision,decision_safe_recall,decision_safe_f1,decision_safe_support,decision_caution_precision,decision_caution_recall,decision_caution_f1,decision_caution_support,decision_avoid_precision,decision_avoid_recall,decision_avoid_f1,decision_avoid_support,complete_pairs,pair_accuracy,added_sugar_plan_items,adverse_feedback_plan_items,allergy_mentions,choking_plan_items,is_7_day_plan,nutrition_category_mentions,plan_days,risk_plan_items,unknown_ingredient_plan_items,unsafe_plan_items,field_accuracy,fields,answer_chars,candidate_mention_recall,nutrition_term_coverage,safety_term_coverage
candidate_selection,babybites,77,478.0,0.8556485355648535,0.8356529950850987,0.90802747976661,0.8526286233913133,0.8556485355648535,0.8556485355648535,0.8556485355648535,0.8911437888159436,0.8556485355648535,0.8552706950941088,0.68,1.0,0.8095238095238095,85.0,0.9946236559139784,0.7312252964426877,0.8428246013667426,253.0,0.8323353293413174,0.9928571428571428,0.9055374592833876,140.0,0.9928571428571428,0.0071428571428571,0.0,1.0,1.0,1.0,0.0,140.0,85.0,48.0,48.0,45.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candidate_selection,baseline,77,478.0,0.700836820083682,0.7125046575750801,0.7743332115454877,0.7048159543378212,0.700836820083682,0.700836820083682,0.700836820083682,0.776400850477107,0.700836820083682,0.6944056451343674,0.6031746031746031,0.8941176470588236,0.7203791469194313,85.0,0.9295774647887324,0.5217391304347826,0.6683544303797468,253.0,0.6047619047619047,0.9071428571428573,0.7257142857142858,140.0,0.9071428571428573,0.0928571428571428,0.1058823529411764,1.0,0.8333333333333334,1.0,0.0,140.0,85.0,48.0,48.0,45.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
counterfactual_consistency,babybites,30,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,15.0,15.0,1.0,,,,,,,,,,,,,,,,
counterfactual_consistency,baseline,30,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.6333333333333333,0.6666666666666666,0.4222222222222222,0.4736842105263157,1.0,0.6666666666666666,0.8,1.0,0.5625,0.72,0.0,0.0,0.0,0.0,1.0,0.2666666666666666,0.4210526315789473,15.0,1.0,1.0,1.0,15.0,15.0,0.2666666666666666,,,,,,,,,,,,,,,,
meal_plan_generation,babybites,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5588235294117647,0.088235294117647,0.8676470588235294,3.75,6.073529411764706,0.088235294117647,0.0,0.0294117647058823,,,,,,
meal_plan_generation,baseline,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.7352941176470589,0.0441176470588235,0.8970588235294118,3.397058823529412,6.279411764705882,0.0441176470588235,0.0,0.0294117647058823,,,,,,
profile_extraction,babybites,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3619047619047618,7.0,,,,
profile_extraction,baseline,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5047619047619047,7.0,,,,
rag_vs_plain_gpt_judge,babybites,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2551.2,1.0,4.8,5.9
rag_vs_plain_gpt_judge,baseline,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.2,1.0,5.3,5.9
safety_rule_trigger,babybites,20,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,2.0,3.0,4.0,0.0,0.65,0.6666666666666666,0.8205128205128206,0.6364522417153996,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.4444444444444444,2.0,1.0,0.4615384615384615,0.631578947368421,13.0,0.7142857142857143,1.0,0.8333333333333334,5.0,,,,,,,,,,,,,,,,,,
